1120
# Paramgroup(pg={'basic': {'substrate:max': [2, 4, 6, 8], 'general:output_frequency': [1000000], 'general:runtime': [20], 'species2:adsorbable': [True, False], 'general:init_f': [0.01, 0.16666666666666663, 0.3233333333333333, 0.48, 0.6366666666666666, 0.7933333333333333, 0.95], 'species2:mu': [22.05]}, 'cost': {'species2:mu': [19.6, 21.233333333333334, 22.866666666666664, 24.5], 'general:output_frequency': [1000000], 'general:runtime': [20], 'species2:adsorbable': [True, False], 'general:init_f': [0.01, 0.16666666666666663, 0.3233333333333333, 0.48, 0.6366666666666666, 0.7933333333333333, 0.95], 'substrate:max': [6]}}, rep={'basic': 10, 'cost': 10})
general:run,general:group,general:set,general:init_f,general:output_frequency,general:runtime,species2:adsorbable,species2:mu,substrate:max,general:seed
1,basic,1,0.01,1000000,20,True,22.05,2,32831863
2,basic,2,0.01,1000000,20,True,22.05,4,88144686
3,basic,3,0.01,1000000,20,True,22.05,6,36364694
4,basic,4,0.01,1000000,20,True,22.05,8,33674591
5,basic,5,0.01,1000000,20,False,22.05,2,14707948
6,basic,6,0.01,1000000,20,False,22.05,4,32738991
7,basic,7,0.01,1000000,20,False,22.05,6,35418459
8,basic,8,0.01,1000000,20,False,22.05,8,27497479
9,basic,9,0.16666666666666663,1000000,20,True,22.05,2,40489854
10,basic,10,0.16666666666666663,1000000,20,True,22.05,4,95636597
11,basic,11,0.16666666666666663,1000000,20,True,22.05,6,37633900
12,basic,12,0.16666666666666663,1000000,20,True,22.05,8,78096636
13,basic,13,0.16666666666666663,1000000,20,False,22.05,2,21623247
14,basic,14,0.16666666666666663,1000000,20,False,22.05,4,2919109
15,basic,15,0.16666666666666663,1000000,20,False,22.05,6,32009808
16,basic,16,0.16666666666666663,1000000,20,False,22.05,8,14182517
17,basic,17,0.3233333333333333,1000000,20,True,22.05,2,84732836
18,basic,18,0.3233333333333333,1000000,20,True,22.05,4,51389528
19,basic,19,0.3233333333333333,1000000,20,True,22.05,6,55206061
20,basic,20,0.3233333333333333,1000000,20,True,22.05,8,96969951
21,basic,21,0.3233333333333333,1000000,20,False,22.05,2,65981371
22,basic,22,0.3233333333333333,1000000,20,False,22.05,4,27114065
23,basic,23,0.3233333333333333,1000000,20,False,22.05,6,49271248
24,basic,24,0.3233333333333333,1000000,20,False,22.05,8,99199218
25,basic,25,0.48,1000000,20,True,22.05,2,73669301
26,basic,26,0.48,1000000,20,True,22.05,4,82483463
27,basic,27,0.48,1000000,20,True,22.05,6,81064297
28,basic,28,0.48,1000000,20,True,22.05,8,92759437
29,basic,29,0.48,1000000,20,False,22.05,2,20858910
30,basic,30,0.48,1000000,20,False,22.05,4,86894492
31,basic,31,0.48,1000000,20,False,22.05,6,38042973
32,basic,32,0.48,1000000,20,False,22.05,8,40130598
33,basic,33,0.6366666666666666,1000000,20,True,22.05,2,49028568
34,basic,34,0.6366666666666666,1000000,20,True,22.05,4,75750600
35,basic,35,0.6366666666666666,1000000,20,True,22.05,6,81985527
36,basic,36,0.6366666666666666,1000000,20,True,22.05,8,73379864
37,basic,37,0.6366666666666666,1000000,20,False,22.05,2,80300769
38,basic,38,0.6366666666666666,1000000,20,False,22.05,4,90275373
39,basic,39,0.6366666666666666,1000000,20,False,22.05,6,14128538
40,basic,40,0.6366666666666666,1000000,20,False,22.05,8,87503164
41,basic,41,0.7933333333333333,1000000,20,True,22.05,2,43472472
42,basic,42,0.7933333333333333,1000000,20,True,22.05,4,96997265
43,basic,43,0.7933333333333333,1000000,20,True,22.05,6,52208868
44,basic,44,0.7933333333333333,1000000,20,True,22.05,8,99264605
45,basic,45,0.7933333333333333,1000000,20,False,22.05,2,89737350
46,basic,46,0.7933333333333333,1000000,20,False,22.05,4,89848612
47,basic,47,0.7933333333333333,1000000,20,False,22.05,6,67480078
48,basic,48,0.7933333333333333,1000000,20,False,22.05,8,49222977
49,basic,49,0.95,1000000,20,True,22.05,2,58483943
50,basic,50,0.95,1000000,20,True,22.05,4,70447141
51,basic,51,0.95,1000000,20,True,22.05,6,39962342
52,basic,52,0.95,1000000,20,True,22.05,8,18126410
53,basic,53,0.95,1000000,20,False,22.05,2,51769310
54,basic,54,0.95,1000000,20,False,22.05,4,91327637
55,basic,55,0.95,1000000,20,False,22.05,6,91825431
56,basic,56,0.95,1000000,20,False,22.05,8,7993828
57,basic,1,0.01,1000000,20,True,22.05,2,60964507
58,basic,2,0.01,1000000,20,True,22.05,4,64868212
59,basic,3,0.01,1000000,20,True,22.05,6,34217712
